global_number,lesson_id,legacy_id,track,module,title,scene_file,scene_class,delivery_name,status
1,variables_et_polynomes,P01,programme,01 - Nombres réels et algèbre,Variables et polynômes,scenes/algebre_et_polynomes_fr/01_variables_et_polynomes_fr/01_variables_et_polynomes_fr_scene.py,VariablesEtPolynomes,01_variables_et_polynomes,existing_review_required
2,inequations_et_nombres_negatifs,P02,programme,01 - Nombres réels et algèbre,Inéquations et nombres négatifs,scenes/algebre_et_polynomes_fr/02_inequations_nombre_negatif_fr/02_inequations_nombre_negatif_fr_scene.py,InequationsNombreNegatifFR,02_inequations_et_nombres_negatifs,existing_review_required
3,racine_carree_et_valeur_absolue,P03,programme,01 - Nombres réels et algèbre,Racine carrée et valeur absolue,scenes/algebre_et_polynomes_fr/03_racine_carree_et_valeur_absolue_fr/03_racine_carree_et_valeur_absolue_fr_scene.py,RacineCarreeValeurAbsolueFR,03_racine_carree_et_valeur_absolue,existing_review_required
4,operations_nombres_reels,S01,programme,01 - Nombres réels et algèbre,Synthèse des opérations sur les nombres réels,scenes/algebre_et_polynomes_fr/04_operations_nombres_reels_fr/04_operations_nombres_reels_fr_scene.py,OperationsNombresReelsFR,04_operations_nombres_reels,authored
5,domaine_et_image_d_une_fonction,P04,programme,02 - Fonctions et graphiques,Domaine et image d'une fonction,scenes/fonctions_et_graphiques_fr/05_domaine_et_image_fr/05_domaine_et_image_fr_scene.py,FonctionsDomaineImageFR,05_domaine_et_image_d_une_fonction,existing_review_required
6,modeles_affines_et_quadratiques,P05,programme,02 - Fonctions et graphiques,Modèles affines et quadratiques,scenes/fonctions_et_graphiques_fr/06_modeles_affines_et_quadratiques_fr/06_modeles_affines_et_quadratiques_fr_scene.py,ModelesLineairesQuadratiques,06_modeles_affines_et_quadratiques,existing_review_required
7,lire_les_proprietes_d_un_graphe,P06,programme,02 - Fonctions et graphiques,Lire les propriétés d'un graphe,scenes/fonctions_et_graphiques_fr/07_lire_les_proprietes_d_un_graphe_fr/07_lire_les_proprietes_d_un_graphe_fr_scene.py,GraphProperties,07_lire_les_proprietes_d_un_graphe,existing_review_required
8,fonction_definie_par_morceaux,P07,programme,02 - Fonctions et graphiques,Fonction définie par morceaux,scenes/fonctions_et_graphiques_fr/08_fonction_par_morceaux_fr/08_fonction_par_morceaux_fr_scene.py,FonctionParMorceauxFR,08_fonction_definie_par_morceaux,existing_review_required
9,operations_sur_les_fonctions,P08,programme,02 - Fonctions et graphiques,Opérations sur les fonctions,scenes/fonctions_et_graphiques_fr/09_operations_sur_les_fonctions_fr/09_operations_sur_les_fonctions_fr_scene.py,OperationsFonctionsFR,09_operations_sur_les_fonctions,existing_review_required
10,composition_de_fonctions,P09,programme,02 - Fonctions et graphiques,Composition de fonctions,scenes/fonctions_et_graphiques_fr/10_composition_de_fonctions_fr/10_composition_de_fonctions_fr_scene.py,CompositionFonctionsFR,10_composition_de_fonctions,existing_review_required
11,fonction_reciproque,P10,programme,02 - Fonctions et graphiques,Fonction réciproque,scenes/fonctions_et_graphiques_fr/11_fonction_reciproque_fr/11_fonction_reciproque_fr_scene.py,FonctionReciproqueFR,11_fonction_reciproque,existing_review_required
12,racines_et_hauteur_zero,P11,programme,02 - Fonctions et graphiques,Racines et hauteur zéro,scenes/fonctions_et_graphiques_fr/12_racines_et_hauteur_zero_fr/12_racines_et_hauteur_zero_fr_scene.py,RacineHauteurZeroFR,12_racines_et_hauteur_zero,existing_review_required
13,multiplicite_des_racines,P12,programme,02 - Fonctions et graphiques,Multiplicité des racines,scenes/fonctions_et_graphiques_fr/13_multiplicite_des_racines_fr/13_multiplicite_des_racines_fr_scene.py,MultipliciteRacinesFR,13_multiplicite_des_racines,existing_review_required
14,completer_le_carre,P13,programme,02 - Fonctions et graphiques,Compléter le carré,scenes/algebre_et_polynomes_fr/14_completer_le_carre_fr/14_completer_le_carre_fr_scene.py,CompleteTheSquare,14_completer_le_carre,existing_review_required
15,fonctions_rationnelles,S02,programme,02 - Fonctions et graphiques,Fonctions rationnelles et leurs asymptotes,scenes/fonctions_et_graphiques_fr/15_fonctions_rationnelles_fr/15_fonctions_rationnelles_fr_scene.py,FonctionsRationnellesAsymptotesFR,15_fonctions_rationnelles,authored
16,exponentielles_et_logarithmes,P14,programme,03 - Exponentielles et logarithmes,Exponentielles et logarithmes,scenes/exponentielles_et_logarithmes_fr/16_logarithmes_fr/16_logarithmes_fr_scene.py,Logarithme,16_exponentielles_et_logarithmes,existing_review_required
17,principe_fondamental_du_denombrement,P15,programme,04 - Probabilités et dénombrement,Principe fondamental du dénombrement,scenes/probabilites_fr/17_principe_fondamental_du_denombrement_fr/17_principe_fondamental_du_denombrement_fr_scene.py,PrincipeFondamentalDenombrementFR,17_principe_fondamental_du_denombrement,existing_review_required
