category	filename	label	url	source_page	credit	rights_status
leadership	stephane_pallage.jpg	Stéphane Pallage — recteur	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2023/07/Pallage_Stephane_2023_03-scaled.jpg	https://salledepresse.uqam.ca/banque-de-photos/photos-des-membres-de-la-direction-et-de-la-fondation-de-luqam/	Photo UQAM	Official press-room high-resolution download; mandatory UQAM credit.
leadership	johanne_grenier.jpg	Johanne Grenier — vice-rectrice à la Vie académique	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2024/11/grenier-johanne-2024-add13-web-1536x1152-w.jpg	https://salledepresse.uqam.ca/banque-de-photos/photos-des-membres-de-la-direction-et-de-la-fondation-de-luqam/	Photo UQAM	Official press-room high-resolution download; mandatory UQAM credit.
leadership	lucie_menard.jpg	Lucie Ménard — vice-rectrice à la Recherche	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2025/07/et_2017_Menard_Lucie-049-scaled.jpg	https://salledepresse.uqam.ca/banque-de-photos/photos-des-membres-de-la-direction-et-de-la-fondation-de-luqam/	Photo UQAM	Official press-room high-resolution download; mandatory UQAM credit.
leadership	guy_joffroy_lord.jpg	Guy-Joffroy Lord — vice-recteur à l'Administration	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2025/05/Lord_Guy-Joffroy_2023_01_w-scaled.jpg	https://salledepresse.uqam.ca/banque-de-photos/photos-des-membres-de-la-direction-et-de-la-fondation-de-luqam/	Photo UQAM	Official press-room high-resolution download; mandatory UQAM credit.
leadership	guylaine_landry.jpg	Guylaine Landry — vice-rectrice au Développement humain	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2024/01/Guylaine-Landry.jpg	https://salledepresse.uqam.ca/banque-de-photos/photos-des-membres-de-la-direction-et-de-la-fondation-de-luqam/	Photo UQAM	Official press-room high-resolution download; mandatory UQAM credit.
leadership	louis_sebastien_guimond.jpg	Louis-Sébastien Guimond — vice-recteur aux Systèmes d'information	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/01/2018_Guimond_Louis-Sebastien-scaled.jpg	https://salledepresse.uqam.ca/banque-de-photos/photos-des-membres-de-la-direction-et-de-la-fondation-de-luqam/	Photo UQAM	Official press-room high-resolution download; mandatory UQAM credit.
leadership	priscilla_ananian.jpg	Priscilla Ananian — vice-rectrice associée	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2024/02/Ananian_Priscilla_2024-scaled.jpg	https://salledepresse.uqam.ca/banque-de-photos/photos-des-membres-de-la-direction-et-de-la-fondation-de-luqam/	Photo UQAM	Official press-room high-resolution download; mandatory UQAM credit.
leadership	fabrice_brunet.jpg	Fabrice Brunet — vice-recteur associé	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2024/10/Fabrice_Brunet_W.jpg	https://salledepresse.uqam.ca/banque-de-photos/photos-des-membres-de-la-direction-et-de-la-fondation-de-luqam/	Photo UQAM	Official press-room high-resolution download; mandatory UQAM credit.
leadership	marylene_drouin.jpg	Marylène Drouin — secrétaire générale	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2022/09/Marylene_Drouin-scaled.jpg	https://salledepresse.uqam.ca/banque-de-photos/photos-des-membres-de-la-direction-et-de-la-fondation-de-luqam/	Photo UQAM	Official press-room high-resolution download; mandatory UQAM credit.
leadership	simon_prevost.jpg	Simon Prévost — directeur général de la Fondation	https://salledepresse.uqam.ca/wp-content/uploads/sites/16/2026/01/simon-prevost-w2-582x582-1.jpg	https://salledepresse.uqam.ca/banque-de-photos/photos-des-membres-de-la-direction-et-de-la-fondation-de-luqam/	Photo UQAM	Official press-room download; mandatory UQAM credit.
mathematics_research	mamadou_yauck.jpg	Mamadou Yauck — statistique et recherche	https://actualites.uqam.ca/wp-content/uploads/2023/02/mamadou-yauck-w.jpg	https://actualites.uqam.ca/2023/mamadou-yauck-statisticien-engage/	Sarah Emily St-Gelais	Editorial reference; formal republication permission not independently verified.
